Char : Freq_in_tokens : Freq_in_corpus
रअ : 1263 : 1069972
अर : 940 : 725120
तअ : 805 : 771149
यआ : 774 : 813410
कअ : 724 : 607082
वअ : 672 : 471232
सअ : 669 : 502258
नअ : 651 : 533895
यअ : 513 : 340332
आर : 493 : 369662
लअ : 492 : 362050
मअ : 492 : 369739
पअ : 490 : 357417
अक : 450 : 270850
अत : 438 : 288898
आअं : 380 : 325987
आअ : 378 : 313014
अन : 376 : 184622
अव : 362 : 164500
अल : 358 : 228905
अण : 348 : 255811
टअ : 314 : 186649
रआ : 308 : 189448
अस : 305 : 231330
वआ : 298 : 206348
गअ : 293 : 200063
आत : 292 : 297544
कआ : 262 : 240282
डअ : 261 : 149932
जअ : 250 : 180164
हअ : 250 : 174948
अम : 249 : 134627
आव : 239 : 157476
दअ : 237 : 157946
णअ : 229 : 188598
बअ : 220 : 149672
मआ : 220 : 166390
इक : 215 : 122228
आल : 209 : 199270
आन : 207 : 149147
वइ : 205 : 129051
लआ : 202 : 245122
पर : 199 : 139202
सआ : 196 : 155005
आय : 188 : 101011
तई : 186 : 152836
नआ : 183 : 187297
पआ : 183 : 118227
ळअ : 182 : 103541
शअ : 181 : 124153
चअ : 180 : 170673
रई : 179 : 122870
आस : 171 : 120227
अड : 168 : 92145
अह : 168 : 102072
तआ : 162 : 149023
अद : 159 : 93846
इत : 158 : 110837
अप : 154 : 66271
नए : 150 : 137811
लए : 146 : 184873
अंत : 146 : 97378
नइ : 144 : 82157
णय : 140 : 103424
षअ : 140 : 84693
आच : 138 : 163742
सअं : 137 : 79877
अय : 135 : 81598
हआ : 130 : 112447
रइ : 130 : 60089
अळ : 130 : 60211
कष : 121 : 74896
तर : 119 : 85435
लय : 119 : 120396
आज : 119 : 88710
दआ : 119 : 77748
चआ : 118 : 143258
धअ : 115 : 77606
णआ : 115 : 90789
आह : 114 : 306138
आम : 114 : 101568
भआ : 114 : 78192
आप : 111 : 82823
तय : 109 : 152771
लई : 108 : 128254
आग : 107 : 76032
रए : 106 : 62936
अट : 105 : 52462
आण : 103 : 143534
अच : 103 : 53944
इल : 102 : 75041
एत : 100 : 104065
अंग : 100 : 65595
मइ : 100 : 50079
इअ : 99 : 52541
ऊन : 98 : 142451
एल : 98 : 151080
बआ : 98 : 59041
अंद : 96 : 64508
इअं : 94 : 51556
इव : 94 : 61048
अग : 91 : 49073
इर : 90 : 52891
खअ : 89 : 69575
जआ : 89 : 85043
आद : 88 : 47020
तइ : 88 : 43292
ईल : 86 : 97224
गआ : 84 : 51317
दए : 84 : 67613
उर : 83 : 51614
हइ : 83 : 56356
ठअ : 83 : 40153
चय : 82 : 166224
अध : 82 : 98889
अज : 81 : 51426
अंड : 80 : 38554
अंच : 79 : 112962
सत : 79 : 42402
आक : 79 : 35644
एक : 78 : 99908
कए : 78 : 101924
मउ : 77 : 72331
एश : 77 : 43679
वए : 76 : 61525
इन : 76 : 36252
तए : 74 : 107607
आळ : 73 : 36996
अभ : 72 : 30653
अश : 71 : 60695
शइ : 69 : 42698
एव : 69 : 42466
अंन : 68 : 110166
इस : 68 : 41856
रय : 68 : 34896
धआ : 68 : 40256
आठ : 66 : 69155
भअ : 66 : 37018
तत : 66 : 28731
इय : 66 : 33316
दइ : 65 : 64057
घअ : 65 : 45634
सउ : 63 : 49983
रओ : 63 : 43850
शआ : 62 : 43681
वय : 62 : 35474
सथ : 62 : 36251
नई : 61 : 84723
आध : 61 : 29141
चए : 60 : 103434
णई : 60 : 40966
कओ : 58 : 38285
उल : 58 : 30026
अंब : 57 : 36295
पउ : 57 : 40297
वह : 57 : 33543
उक : 57 : 30984
थअ : 56 : 38379
लइ : 55 : 29688
यए : 54 : 104513
ऊर : 54 : 38463
वई : 54 : 36564
ओल : 53 : 35016
टआ : 53 : 20925
उप : 52 : 34047
अब : 52 : 21662
नय : 52 : 27972
मओ : 51 : 37906
ओर : 51 : 24654
