avg_precision : avg_recall : avg_f_score
13.712713436575036 : 29.121479997694834 : 18.520220171102054
precision_per_sentence : recall_per_sentence : f_score_per_sentence
6.25 : 18.181818181818183 : 9.30232558139535
13.333333333333334 : 28.571428571428573 : 18.181818181818183
11.320754716981131 : 26.08695652173913 : 15.789473684210526
18.181818181818183 : 50.0 : 26.666666666666664
5.555555555555555 : 14.285714285714286 : 8.0
7.6923076923076925 : 16.666666666666668 : 10.526315789473683
0.0 : 0.0 : 0
15.0 : 33.333333333333336 : 20.689655172413794
6.25 : 14.285714285714286 : 8.695652173913045
13.043478260869565 : 30.0 : 18.181818181818183
25.0 : 40.0 : 30.76923076923077
33.333333333333336 : 66.66666666666667 : 44.44444444444445
15.0 : 33.333333333333336 : 20.689655172413794
15.384615384615385 : 40.0 : 22.22222222222222
18.51851851851852 : 38.46153846153846 : 25.0
25.806451612903224 : 47.05882352941177 : 33.33333333333333
5.0 : 12.5 : 7.142857142857143
17.647058823529413 : 33.333333333333336 : 23.07692307692308
5.555555555555555 : 16.666666666666668 : 8.333333333333334
16.666666666666668 : 37.5 : 23.076923076923077
2.5641025641025643 : 7.6923076923076925 : 3.8461538461538463
35.714285714285715 : 55.55555555555556 : 43.478260869565226
0.0 : 0.0 : 0
20.0 : 42.857142857142854 : 27.272727272727273
10.0 : 25.0 : 14.285714285714286
