avg_precision : avg_recall : avg_f_score
8.661597996517516 : 22.841909866206542 : 12.473116944041717
precision_per_sentence : recall_per_sentence : f_score_per_sentence
1.4705882352941178 : 4.545454545454546 : 2.2222222222222223
5.2631578947368425 : 14.285714285714286 : 7.692307692307693
7.462686567164179 : 21.73913043478261 : 11.111111111111112
16.666666666666668 : 50.0 : 25.0
4.761904761904762 : 14.285714285714286 : 7.142857142857144
6.25 : 16.666666666666668 : 9.090909090909092
0.0 : 0.0 : 0
11.538461538461538 : 33.333333333333336 : 17.142857142857142
0.0 : 0.0 : 0
6.451612903225806 : 20.0 : 9.75609756097561
20.0 : 40.0 : 26.666666666666668
16.666666666666668 : 44.44444444444444 : 24.242424242424242
3.225806451612903 : 11.11111111111111 : 5.0
12.5 : 40.0 : 19.047619047619047
9.375 : 23.076923076923077 : 13.333333333333332
17.5 : 41.1764705882353 : 24.561403508771928
3.7037037037037037 : 12.5 : 5.714285714285715
8.0 : 22.22222222222222 : 11.76470588235294
5.0 : 16.666666666666668 : 7.6923076923076925
8.695652173913043 : 25.0 : 12.90322580645161
2.127659574468085 : 7.6923076923076925 : 3.3333333333333335
25.0 : 44.44444444444444 : 32.0
0.0 : 0.0 : 0
15.789473684210526 : 42.857142857142854 : 23.076923076923077
9.090909090909092 : 25.0 : 13.333333333333332
