Char : Freq_in_tokens : Freq_in_corpus
यउ : 6 : 18366
दओ : 6 : 18217
पओ : 6 : 25029
ओण : 6 : 21415
सइ : 6 : 13219
आऱ : 6 : 11673
आख : 6 : 18402
गइ : 6 : 10257
बअं : 6 : 14086
ओर : 6 : 11863
नह : 6 : 12052
आक : 6 : 14073
खय : 6 : 13927
लल : 6 : 12293
कय : 6 : 12021
ओध : 6 : 12070
उण : 6 : 11539
आश : 6 : 7675
शई : 5 : 34198
मए : 5 : 22474
कउ : 5 : 20081
अंव : 5 : 19780
जय : 5 : 18156
कइ : 5 : 15137
एस : 5 : 16042
एख : 5 : 12552
तऊ : 5 : 15991
अंज : 5 : 9731
सप : 5 : 13046
अंम : 5 : 10842
कऋ : 5 : 8634
बओ : 5 : 11741
एऊ : 5 : 10407
दद : 5 : 10191
भए : 5 : 7748
डइ : 5 : 9638
उख : 5 : 13089
षए : 5 : 8235
लह : 5 : 9422
ओठ : 5 : 10310
रच : 5 : 9994
उव : 5 : 7334
ठआ : 5 : 8247
अंस : 5 : 8955
ईव : 5 : 7431
तअं : 5 : 6918
रश : 5 : 6819
ओप : 5 : 8898
आड : 5 : 9722
सट : 4 : 20153
णऊ : 4 : 17318
गओ : 4 : 14898
ओन : 4 : 16488
ईअं : 4 : 19898
एच : 4 : 10848
इच : 4 : 12554
टआ : 4 : 14036
छअ : 4 : 12449
एथ : 4 : 14863
डऊ : 4 : 11385
अंघ : 4 : 10157
ओड : 4 : 13159
एम : 4 : 10415
खए : 4 : 9752
ओब : 4 : 10840
ओट : 4 : 9591
पअं : 4 : 8541
आऊ : 4 : 9024
भइ : 4 : 8896
रज : 4 : 10370
फए : 4 : 7051
थइ : 4 : 11520
घआ : 4 : 8906
आझ : 4 : 6934
फआ : 4 : 5982
शओ : 4 : 6866
ईर : 4 : 7767
पऐ : 4 : 6138
लप : 4 : 5949
भऊ : 4 : 7686
षठ : 4 : 5215
ओह : 4 : 6046
वऐ : 4 : 5510
चछ : 4 : 6238
ओष : 4 : 6934
अथ : 4 : 5883
शव : 4 : 6889
रध : 4 : 5366
नओ : 4 : 5022
उष : 4 : 4596
तम : 4 : 4484
ऋष : 4 : 4778
डआ : 3 : 13796
पई : 3 : 13257
रत : 3 : 9706
अंट : 3 : 9770
सक : 3 : 8679
बए : 3 : 7658
खई : 3 : 9145
तन : 3 : 7630
इट : 3 : 8214
पए : 3 : 11432
जञ : 3 : 7041
एर : 3 : 7846
उढ : 3 : 7938
जओ : 3 : 8952
एग : 3 : 6823
ऊप : 3 : 7118
बउ : 3 : 5693
कट : 3 : 6753
एद : 3 : 6725
अष : 3 : 5161
एन : 3 : 6372
ऑल : 3 : 4885
नन : 3 : 5694
टट : 3 : 4743
तप : 3 : 4740
उट : 3 : 5194
चच : 3 : 5406
उच : 3 : 4687
ओअं : 3 : 4276
ओअ : 3 : 4276
हउ : 3 : 6612
ऊक : 3 : 5532
ऊम : 3 : 5418
जऊ : 3 : 5781
मऋ : 3 : 4235
टओ : 3 : 5936
रद : 3 : 4553
हय : 3 : 6114
अआ : 3 : 4490
ऱअ : 3 : 4275
षई : 3 : 3962
अअँ : 3 : 5699
जउ : 3 : 4022
दऊ : 3 : 4188
णउ : 3 : 4669
इह : 3 : 4348
ऐस : 3 : 3582
एब : 3 : 3574
रभ : 3 : 3260
षय : 3 : 3431
शच : 3 : 3611
अंश : 3 : 3384
ओस : 3 : 2939
ईट : 3 : 2113
ंअं : 2 : 85019
णइ : 2 : 82021
सई : 2 : 13095
टए : 2 : 10782
ठए : 2 : 10511
रट : 2 : 7463
पइ : 2 : 7573
आइ : 2 : 6336
थई : 2 : 6934
वऊ : 2 : 6238
रक : 2 : 6540
ञअ : 2 : 5072
ळय : 2 : 6623
एष : 2 : 5811
शर : 2 : 8967
ओद : 2 : 5417
ईस : 2 : 6356
डऑ : 2 : 6170
चऔ : 2 : 5781
इज : 2 : 7416
खओ : 2 : 4963
डय : 2 : 4820
बर : 2 : 4892
कअं : 2 : 5225
ठइ : 2 : 4451
पत : 2 : 5380
अढ : 2 : 4650
इण : 2 : 4847
यऊ : 2 : 6033
कऑ : 2 : 4148
गय : 2 : 5511
पप : 2 : 4262
ओऊ : 2 : 4815
ऐक : 2 : 3480
अघ : 2 : 4616
अंख : 2 : 3387
आथ : 2 : 3572
ऋह : 2 : 3468
गऋ : 2 : 3468
बऑ : 2 : 3208
घओ : 2 : 4349
एह : 2 : 3038
फओ : 2 : 4027
गण : 2 : 3494
उग : 2 : 3494
सय : 2 : 4288
अँक : 2 : 3571
अअ : 2 : 3571
अऱ : 2 : 3605
धउ : 2 : 2855
उभ : 2 : 3027
भई : 2 : 2885
अंभ : 2 : 2654
नम : 2 : 2775
ऑक : 2 : 3042
ऐठ : 2 : 2902
बऐ : 2 : 2902
ओच : 2 : 3038
भओ : 2 : 2521
आभ : 2 : 3314
लड : 2 : 2426
फउ : 2 : 3195
ओघ : 2 : 2300
ईड : 2 : 2320
इथ : 2 : 2978
लउ : 2 : 2638
षइ : 2 : 2424
इओ : 2 : 2396
तस : 2 : 2140
ऊस : 2 : 2255
धओ : 2 : 2383
दऋ : 2 : 2351
ऐद : 2 : 2114
ऐश : 2 : 1813
ञआ : 2 : 2079
ओम : 2 : 1809
वओ : 2 : 1824
रफ : 2 : 1802
ऐर : 2 : 1927
गऐ : 2 : 1927
ईण : 2 : 2139
अठ : 2 : 1836
षक : 2 : 1958
बऊ : 2 : 1708
ऑन : 2 : 1603
ऊत : 2 : 1597
रल : 2 : 1413
ङअ : 2 : 227
झअ : 1 : 17316
अई : 1 : 11267
बई : 1 : 8800
शय : 1 : 7193
ईच : 1 : 6615
अँग : 1 : 6441
आअँ : 1 : 6441
नस : 1 : 6236
मय : 1 : 5989
रड : 1 : 5887
ऊल : 1 : 5882
बइ : 1 : 5832
इभ : 1 : 5575
शन : 1 : 5442
ःअः : 1 : 5059
कस : 1 : 4913
डओ : 1 : 4605
रस : 1 : 4458
ढए : 1 : 4421
ओई : 1 : 4272
खऊ : 1 : 4066
कऍ : 1 : 3975
वऋ : 1 : 3942
झय : 1 : 3880
घय : 1 : 3633
ठय : 1 : 3585
णअं : 1 : 3494
ँअँ : 1 : 3369
धऊ : 1 : 3335
लव : 1 : 3222
उठ : 1 : 3072
खउ : 1 : 3038
अऍ : 1 : 2989
बध : 1 : 2863
ओळ : 1 : 2743
बद : 1 : 2669
ऑफ : 1 : 2652
पल : 1 : 2639
चउ : 1 : 2568
एई : 1 : 2564
मप : 1 : 2459
बऍ : 1 : 2415
थय : 1 : 2406
उघ : 1 : 2394
कल : 1 : 2375
आघ : 1 : 2324
भय : 1 : 2309
दव : 1 : 2273
हऐ : 1 : 2187
उड : 1 : 2186
फइ : 1 : 2176
मऍ : 1 : 2175
गन : 1 : 2158
अँड : 1 : 2128
धए : 1 : 2058
ऊण : 1 : 2033
कऊ : 1 : 2033
पऍ : 1 : 2032
इघ : 1 : 2010
गअं : 1 : 1990
ढई : 1 : 1926
अंह : 1 : 1924
गऊ : 1 : 1907
ईम : 1 : 1873
यई : 1 : 1853
चओ : 1 : 1802
फर : 1 : 1796
औक : 1 : 1740
धद : 1 : 1724
डर : 1 : 1676
ऑट : 1 : 1630
हऑ : 1 : 1630
लऊ : 1 : 1616
ईठ : 1 : 1541
ओश : 1 : 1518
झओ : 1 : 1485
सऔ : 1 : 1430
ढऊ : 1 : 1429
ओय : 1 : 1377
ऊळ : 1 : 1370
मऊ : 1 : 1370
पन : 1 : 1362
षण : 1 : 1356
बब : 1 : 1355
ईज : 1 : 1320
ओख : 1 : 1292
बल : 1 : 1290
अंर : 1 : 1280
ऑअं : 1 : 1273
ऑअ : 1 : 1273
फल : 1 : 1242
ऊच : 1 : 1211
ओव : 1 : 1204
तऋ : 1 : 1192
फट : 1 : 1186
मऐ : 1 : 1183
टय : 1 : 1182
मब : 1 : 1161
कश : 1 : 1155
यइ : 1 : 1130
बय : 1 : 1127
वर : 1 : 1123
पय : 1 : 1098
टव : 1 : 1089
शउ : 1 : 1087
छआ : 1 : 1087
लऐ : 1 : 1084
एप : 1 : 1082
ऑग : 1 : 1069
इड : 1 : 1041
झई : 1 : 1029
पट : 1 : 1028
उध : 1 : 1026
उज : 1 : 1015
ऑड : 1 : 1005
मऑ : 1 : 1005
ऊध : 1 : 996
रन : 1 : 917
छइ : 1 : 898
नऐ : 1 : 890
झए : 1 : 874
ऑस : 1 : 854
हअं : 1 : 850
और : 1 : 848
पऔ : 1 : 848
ईह : 1 : 827
इफ : 1 : 819
एज : 1 : 813
एड : 1 : 812
ऐय : 1 : 807
तक : 1 : 780
औत : 1 : 771
कऔ : 1 : 771
ऋद : 1 : 765
हऋ : 1 : 765
थव : 1 : 763
ऋथ : 1 : 763
पऋ : 1 : 763
थओ : 1 : 745
शम : 1 : 738
ऐन : 1 : 738
सऐ : 1 : 738
एध : 1 : 724
ऑर : 1 : 710
फऑ : 1 : 710
ऊड : 1 : 702
यय : 1 : 669
शऐ : 1 : 665
ढआ : 1 : 658
अंथ : 1 : 646
सल : 1 : 646
औअं : 1 : 645
औअ : 1 : 645
भर : 1 : 627
ऩअ : 1 : 21
ऴअ : 1 : 16
ऍङ : 1 : 1
अःऐ : 1 : 1
ऐअः : 1 : 1
ऐऐ : 1 : 1
अऄ : 1 : 1
