avg_precision : avg_recall : avg_f_score
36.98399530752472 : 52.131356537750406 : 42.983029747360135
precision_per_sentence : recall_per_sentence : f_score_per_sentence
59.25925925925926 : 72.72727272727273 : 65.30612244897961
36.36363636363637 : 57.142857142857146 : 44.44444444444445
30.555555555555557 : 47.82608695652174 : 37.288135593220346
20.0 : 25.0 : 22.22222222222222
25.0 : 42.857142857142854 : 31.578947368421048
50.0 : 66.66666666666667 : 57.142857142857146
25.0 : 40.0 : 30.76923076923077
63.63636363636363 : 77.77777777777777 : 70.0
50.0 : 71.42857142857143 : 58.82352941176471
25.0 : 40.0 : 30.76923076923077
33.333333333333336 : 50.0 : 40.0
63.63636363636363 : 77.77777777777777 : 70.0
35.714285714285715 : 55.55555555555556 : 43.478260869565226
42.857142857142854 : 60.0 : 49.99999999999999
58.8235294117647 : 76.92307692307692 : 66.66666666666666
32.142857142857146 : 52.94117647058823 : 40.0
13.333333333333334 : 25.0 : 17.39130434782609
38.46153846153846 : 55.55555555555556 : 45.45454545454545
30.0 : 50.0 : 37.5
20.0 : 37.5 : 26.08695652173913
20.833333333333332 : 38.46153846153846 : 27.02702702702702
100.0 : 100.0 : 100.0
0.0 : 0.0 : 0
36.36363636363637 : 57.142857142857146 : 44.44444444444445
14.285714285714286 : 25.0 : 18.181818181818183
