avg_precision : avg_recall : avg_f_score
2.8548685934274403 : 9.323086773981915 : 4.354578189439615
precision_per_sentence : recall_per_sentence : f_score_per_sentence
1.36986301369863 : 4.545454545454546 : 2.1052631578947367
3.7037037037037037 : 14.285714285714286 : 5.88235294117647
2.3255813953488373 : 8.695652173913043 : 3.6697247706422016
0.0 : 0.0 : 0
3.7037037037037037 : 14.285714285714286 : 5.88235294117647
4.166666666666667 : 16.666666666666668 : 6.666666666666667
0.0 : 0.0 : 0
3.3333333333333335 : 11.11111111111111 : 5.128205128205129
0.0 : 0.0 : 0
2.4390243902439024 : 10.0 : 3.9215686274509802
7.142857142857143 : 20.0 : 10.526315789473685
3.125 : 11.11111111111111 : 4.878048780487805
2.9411764705882355 : 11.11111111111111 : 4.651162790697676
0.0 : 0.0 : 0
5.405405405405405 : 15.384615384615385 : 8.0
9.25925925925926 : 29.41176470588235 : 14.08450704225352
0.0 : 0.0 : 0
3.3333333333333335 : 11.11111111111111 : 5.128205128205129
0.0 : 0.0 : 0
3.3333333333333335 : 12.5 : 5.2631578947368425
0.0 : 0.0 : 0
0.0 : 0.0 : 0
0.0 : 0.0 : 0
15.789473684210526 : 42.857142857142854 : 23.076923076923077
0.0 : 0.0 : 0
