Char : Freq_in_tokens : Freq_in_corpus
नय : 2 : 6170
नह : 2 : 7072
आई : 2 : 8443
ऊप : 2 : 8431
इद : 2 : 6589
लह : 2 : 8569
लल : 2 : 4898
ङअ : 2 : 227
णइ : 1 : 81340
ंअं : 1 : 73905
तओ : 1 : 38484
मए : 1 : 24104
डई : 1 : 23312
लअं : 1 : 20666
सट : 1 : 18767
एट : 1 : 17942
कइ : 1 : 17154
सइ : 1 : 16863
दध : 1 : 16664
गउ : 1 : 16604
ओर : 1 : 16437
कउ : 1 : 16260
सई : 1 : 15542
चअं : 1 : 15072
गओ : 1 : 13414
पए : 1 : 13279
णऊ : 1 : 12615
दओ : 1 : 12493
षआ : 1 : 11839
उअं : 1 : 11267
उअ : 1 : 11267
टए : 1 : 10724
अळ : 1 : 10578
ऱअ : 1 : 10428
पई : 1 : 10344
भऊ : 1 : 9488
ऊक : 1 : 9148
ओठ : 1 : 9037
रज : 1 : 8898
सप : 1 : 8784
गई : 1 : 8675
डऊ : 1 : 8674
एच : 1 : 8534
ँअँ : 1 : 8285
अंघ : 1 : 8154
उम : 1 : 8111
अंट : 1 : 7772
डआ : 1 : 7765
इच : 1 : 7716
ठए : 1 : 7646
इम : 1 : 7536
आझ : 1 : 7357
अंज : 1 : 7341
यउ : 1 : 7298
तऊ : 1 : 7233
ओब : 1 : 6979
आक : 1 : 6924
उढ : 1 : 6858
लप : 1 : 6458
वऊ : 1 : 6456
मअं : 1 : 6400
चछ : 1 : 6238
डऑ : 1 : 6170
आऱ : 1 : 5979
ईर : 1 : 5903
कऑ : 1 : 5841
चऔ : 1 : 5781
बओ : 1 : 5740
रध : 1 : 5635
इभ : 1 : 5575
जञ : 1 : 5557
अंक : 1 : 5521
वऐ : 1 : 5510
ओष : 1 : 5483
एग : 1 : 5457
कअं : 1 : 5331
नओ : 1 : 5276
घआ : 1 : 5208
बए : 1 : 5160
अंम : 1 : 5155
कक : 1 : 5114
षठ : 1 : 5076
ःअः : 1 : 5059
ऊल : 1 : 5028
ठआ : 1 : 5014
एर : 1 : 4960
तत : 1 : 4939
शन : 1 : 4918
कय : 1 : 4885
ळय : 1 : 4831
फए : 1 : 4810
पइ : 1 : 4787
बई : 1 : 4771
ठइ : 1 : 4737
थआ : 1 : 4733
कस : 1 : 4709
डइ : 1 : 4702
शच : 1 : 4677
अंभ : 1 : 4665
इट : 1 : 4648
नन : 1 : 4643
ओद : 1 : 4583
रत : 1 : 4484
एख : 1 : 4483
यई : 1 : 4479
रस : 1 : 4473
ईव : 1 : 4434
चच : 1 : 4420
एऊ : 1 : 4400
थइ : 1 : 4377
दद : 1 : 4367
पऐ : 1 : 4332
रभ : 1 : 4274
ओई : 1 : 4272
नस : 1 : 4267
शर : 1 : 4210
शउ : 1 : 4169
बइ : 1 : 4149
रअं : 1 : 4141
रट : 1 : 4137
खऊ : 1 : 4066
बउ : 1 : 4038
सक : 1 : 4038
कऍ : 1 : 3975
एअं : 1 : 3958
एअ : 1 : 3958
आध : 1 : 3931
षए : 1 : 3928
अंस : 1 : 3913
जओ : 1 : 3911
भए : 1 : 3888
इष : 1 : 3799
तप : 1 : 3778
अअँ : 1 : 668
ऩअ : 1 : 21
ऴअ : 1 : 16
ऍङ : 1 : 1
अःऐ : 1 : 1
ऐअः : 1 : 1
ऐऐ : 1 : 1
अऄ : 1 : 1
