Char : Freq_in_tokens : Freq_in_corpus
रअ : 229 : 1186809
तअ : 148 : 829031
अर : 131 : 607140
यआ : 130 : 827837
कअ : 127 : 655645
सअ : 109 : 539379
नअ : 101 : 566636
आर : 88 : 382148
मअ : 86 : 408047
वअ : 85 : 496434
यअ : 81 : 336712
पअ : 77 : 390587
लअ : 74 : 369317
अक : 63 : 171911
अत : 61 : 166915
आत : 57 : 304522
आअं : 57 : 342365
आअ : 55 : 329194
गअ : 52 : 262849
वआ : 47 : 204837
टअ : 45 : 229161
कआ : 45 : 232737
दअ : 44 : 198546
हअ : 44 : 230603
आन : 41 : 155850
बअ : 40 : 196444
अस : 40 : 177096
अण : 40 : 174442
अल : 40 : 120230
णअ : 39 : 195219
जअ : 38 : 226664
पर : 38 : 136754
शअ : 37 : 163866
लआ : 36 : 259396
मआ : 36 : 149422
रआ : 34 : 136463
आल : 34 : 162564
अम : 33 : 86999
तय : 32 : 141789
रई : 31 : 131559
इक : 31 : 121955
सआ : 30 : 148080
अन : 30 : 99335
आह : 29 : 312079
आच : 29 : 117512
डअ : 28 : 173032
धअ : 28 : 106987
पआ : 28 : 109762
नआ : 27 : 188234
आव : 27 : 152805
आस : 27 : 101359
लए : 26 : 188572
तआ : 26 : 130954
अव : 26 : 68399
षअ : 25 : 107565
अह : 25 : 83089
वइ : 24 : 127433
इत : 24 : 107433
एल : 24 : 135763
चअ : 23 : 191386
तई : 23 : 162513
लय : 23 : 120418
अंत : 23 : 90033
नए : 22 : 138537
हआ : 22 : 78802
अअं : 22 : 144573
आम : 22 : 93476
अंद : 22 : 61656
आय : 21 : 88704
णआ : 21 : 93252
तर : 21 : 80030
ऊन : 20 : 143466
अद : 20 : 48184
चआ : 19 : 138661
आज : 19 : 88936
णय : 19 : 103473
जआ : 19 : 68708
लई : 18 : 131741
ळअ : 18 : 102116
अध : 18 : 91457
नइ : 18 : 77259
सअं : 18 : 76384
अड : 18 : 69494
अय : 18 : 50259
एत : 17 : 100760
ईल : 17 : 95021
कष : 17 : 75087
अंच : 17 : 118324
दआ : 17 : 65945
आग : 17 : 73562
भआ : 17 : 69928
आप : 16 : 70964
आण : 15 : 140444
खअ : 15 : 83438
रए : 15 : 61949
रओ : 15 : 36289
इव : 15 : 45071
यए : 14 : 100869
हओ : 14 : 94719
कए : 14 : 99472
हइ : 14 : 51253
इल : 14 : 53995
चय : 13 : 166385
चए : 13 : 104824
धय : 13 : 66275
घअ : 13 : 61243
अंग : 13 : 63833
मउ : 13 : 73490
बआ : 13 : 39868
रउ : 13 : 35256
षट : 13 : 35691
रइ : 13 : 32232
हई : 12 : 149893
