Char : Freq_in_tokens : Freq_in_corpus
रअ : 177 : 1459935
नअ : 118 : 710785
तअ : 105 : 995025
कअ : 102 : 753130
सअ : 99 : 781606
अर : 95 : 583189
अन : 85 : 133572
यअ : 73 : 393081
लअ : 70 : 509938
अक : 61 : 83162
यआ : 59 : 840586
वअ : 58 : 566560
आर : 58 : 296323
मअ : 55 : 545963
इक : 50 : 115447
पअ : 49 : 617305
अत : 48 : 133295
गअ : 44 : 331136
आन : 42 : 101248
अम : 38 : 69815
कआ : 37 : 255566
इत : 37 : 104381
तआ : 34 : 114950
हअ : 33 : 244104
जअ : 33 : 227116
आल : 33 : 137786
अल : 33 : 81593
अह : 33 : 24190
बअ : 32 : 241049
आत : 32 : 220316
नआ : 32 : 164236
णअ : 31 : 268831
रई : 30 : 78219
अस : 30 : 100996
पर : 30 : 55970
दअ : 29 : 290698
टअ : 29 : 265371
रआ : 29 : 126465
शअ : 27 : 243243
मआ : 27 : 164734
वइ : 27 : 129586
वआ : 26 : 190391
आअ : 26 : 120590
अण : 26 : 110134
इय : 26 : 35664
आअं : 25 : 166802
सआ : 23 : 101683
तइ : 23 : 24908
लआ : 22 : 228331
नए : 22 : 116121
लए : 21 : 172821
तर : 20 : 73744
रइ : 20 : 25972
डअ : 19 : 184650
अअं : 19 : 234229
इस : 19 : 41404
अय : 19 : 31673
सअं : 18 : 58945
इल : 18 : 73766
लई : 17 : 120264
ओअं : 17 : 7906
ओअ : 17 : 7906
चअ : 16 : 244002
जआ : 16 : 81888
नई : 16 : 82332
कष : 16 : 56166
इन : 16 : 35766
भआ : 16 : 53575
अव : 16 : 12728
थअ : 15 : 66906
षअ : 15 : 108981
कए : 15 : 90953
उन : 15 : 28638
हआ : 14 : 113538
धअ : 14 : 116858
तए : 14 : 97840
तई : 14 : 108596
पआ : 14 : 56649
सए : 14 : 65754
आस : 14 : 83512
उर : 14 : 49727
कइ : 14 : 21120
नइ : 14 : 19286
सथ : 14 : 14499
आव : 13 : 75158
थआ : 13 : 20070
लइ : 13 : 4975
आह : 12 : 271921
आम : 12 : 67814
दए : 12 : 56710
एल : 12 : 95140
रए : 12 : 34835
ऊर : 12 : 36812
हइ : 12 : 24254
धआ : 12 : 31427
एअ : 12 : 20992
अंग : 11 : 62277
अद : 11 : 24070
एअं : 11 : 20987
जइ : 11 : 3510
खअ : 10 : 91299
आज : 10 : 71905
यए : 10 : 94961
अध : 10 : 65298
अंत : 10 : 91354
एत : 10 : 78854
हओ : 10 : 90821
मई : 10 : 38350
सत : 10 : 36251
दआ : 10 : 49568
आच : 10 : 100339
षट : 10 : 35660
ऋत : 10 : 19025
आद : 10 : 29311
आष : 10 : 17556
अग : 10 : 6654
इश : 10 : 19288
उस : 10 : 8992
अब : 10 : 12346
अभ : 10 : 10050
तय : 9 : 143377
एक : 9 : 99243
चआ : 9 : 127936
णआ : 9 : 85648
आय : 9 : 45431
इर : 9 : 42547
ईल : 9 : 74147
बआ : 9 : 34842
अंच : 9 : 122762
एश : 9 : 35675
आप : 9 : 34596
पऊ : 9 : 27839
दइ : 9 : 18633
धइ : 9 : 22911
ओग : 9 : 13535
ईय : 9 : 19987
मइ : 9 : 6458
थइ : 9 : 4761
कऋ : 9 : 5061
अंन : 8 : 93246
ईअं : 8 : 62776
खआ : 8 : 30841
कई : 8 : 33121
इअं : 8 : 45115
इअ : 8 : 45115
अंक : 8 : 17004
यओ : 8 : 16124
उत : 8 : 16821
अप : 8 : 7291
पउ : 8 : 11584
चय : 7 : 166263
ऊन : 7 : 142875
भअ : 7 : 99268
चई : 7 : 102373
इव : 7 : 59472
धय : 7 : 52074
कत : 7 : 29030
अंस : 7 : 16362
अई : 7 : 11479
इम : 7 : 14003
अश : 7 : 27458
चइ : 7 : 12514
गउ : 7 : 2506
सइ : 7 : 5472
गर : 7 : 2827
चए : 6 : 87056
ढअ : 6 : 40176
कओ : 6 : 36719
उल : 6 : 31501
मउ : 6 : 39652
दई : 6 : 32259
रव : 6 : 27640
जई : 6 : 30471
शआ : 6 : 29942
आग : 6 : 26873
लओ : 6 : 16624
सई : 6 : 13259
षआ : 6 : 22608
रऊ : 6 : 24004
रउ : 6 : 17833
उप : 6 : 10959
दध : 6 : 15318
टर : 6 : 15141
उग : 6 : 5847
ओज : 6 : 13951
रम : 6 : 8812
तउ : 6 : 7315
शइ : 6 : 7572
दऊ : 6 : 5502
आध : 6 : 9328
आक : 6 : 5970
अथ : 6 : 6106
सक : 6 : 3329
षइ : 6 : 4393
हउ : 6 : 1515
इए : 6 : 536
नद : 6 : 122
हए : 5 : 212629
हई : 5 : 146620
आण : 5 : 97452
फअ : 5 : 77162
ठअ : 5 : 68402
अंद : 5 : 51058
वई : 5 : 31520
उक : 5 : 32738
गआ : 5 : 33131
टई : 5 : 27644
ठई : 5 : 58977
ईत : 5 : 17950
ओक : 5 : 27343
ओन : 5 : 21653
ईन : 5 : 17258
अज : 5 : 10011
वय : 5 : 16157
ईअ : 5 : 7108
दर : 5 : 11105
तत : 5 : 8208
कर : 5 : 11473
जउ : 5 : 2950
यउ : 5 : 4637
भइ : 5 : 2364
आअँ : 5 : 275
अढ : 5 : 136
तओ : 4 : 41055
अंड : 4 : 34504
ओल : 4 : 34581
ओत : 4 : 53415
ओर : 4 : 23373
आठ : 4 : 54601
रओ : 4 : 23286
झआ : 4 : 39351
मह : 4 : 21547
इट : 4 : 13227
छअ : 4 : 12224
एर : 4 : 13110
एन : 4 : 12229
अंब : 4 : 15739
आट : 4 : 13393
आई : 4 : 15865
रय : 4 : 15218
खय : 4 : 14367
रष : 4 : 16085
मए : 4 : 8990
इप : 4 : 6402
ऊप : 4 : 9161
रथ : 4 : 13176
उद : 4 : 9314
ऊल : 4 : 7170
और : 4 : 5174
इध : 4 : 9125
जञ : 4 : 6166
लल : 4 : 8967
षए : 4 : 4836
एव : 4 : 4948
नय : 4 : 5830
डइ : 4 : 3491
एख : 4 : 2477
पऋ : 4 : 1419
ऐअं : 4 : 1006
ऐअ : 4 : 1006
ऋष : 4 : 1738
नत : 4 : 173
ऐस : 4 : 237
अए : 4 : 111
घअ : 3 : 108371
ळअ : 3 : 101927
णइ : 3 : 81421
लय : 3 : 93539
वए : 3 : 59037
णई : 3 : 36700
शई : 3 : 30125
णय : 3 : 53995
दय : 3 : 21129
दउ : 3 : 19234
एट : 3 : 16421
दओ : 3 : 16783
अळ : 3 : 12085
ओट : 3 : 14265
गई : 3 : 12501
अंव : 3 : 10274
रण : 3 : 10460
एस : 3 : 19885
उख : 3 : 16826
एम : 3 : 8779
गए : 3 : 12498
सट : 3 : 10676
रग : 3 : 8304
शय : 3 : 9526
अंश : 3 : 4527
षठ : 3 : 5213
शव : 3 : 5320
भई : 3 : 3393
मऊ : 3 : 5114
एज : 3 : 3601
अंध : 3 : 6535
बअं : 3 : 6535
ऊस : 3 : 2729
अंख : 3 : 2006
तव : 3 : 2824
आथ : 3 : 3813
आश : 3 : 2529
शच : 3 : 2807
इह : 3 : 2549
कउ : 3 : 2579
सव : 3 : 1276
ञआ : 3 : 2109
अच : 3 : 1243
नन : 3 : 1511
रश : 3 : 2298
लउ : 3 : 689
इड : 3 : 574
कऊ : 3 : 560
पइ : 3 : 440
नह : 3 : 64
अड : 3 : 34
णए : 2 : 41601
ळआ : 2 : 35483
ळई : 2 : 30471
ळए : 2 : 43201
धई : 2 : 30035
डई : 2 : 23370
जए : 2 : 28789
ओड : 2 : 16228
नअं : 2 : 19376
उण : 2 : 15081
जय : 2 : 12977
डऊ : 2 : 16224
उअं : 2 : 11519
उअ : 2 : 11271
सऊ : 2 : 11281
बई : 2 : 10916
सउ : 2 : 11442
रच : 2 : 9997
थए : 2 : 15534
अंट : 2 : 8716
एद : 2 : 7256
एथ : 2 : 12676
मअं : 2 : 8810
खए : 2 : 6398
अट : 2 : 6562
इभ : 2 : 5601
थई : 2 : 7412
ऑल : 2 : 6318
ईर : 2 : 7695
अंभ : 2 : 5529
एष : 2 : 4972
यऊ : 2 : 5950
ओब : 2 : 4162
रअं : 2 : 7726
ञअ : 2 : 5039
इज : 2 : 4603
यई : 2 : 3725
इण : 2 : 4846
रड : 2 : 4281
पत : 2 : 5193
कस : 2 : 3281
इष : 2 : 4087
तप : 2 : 4069
ऊम : 2 : 3749
भऊ : 2 : 3749
बद : 2 : 2718
हय : 2 : 2476
फइ : 2 : 2652
ऐन : 2 : 3196
ईम : 2 : 2503
इद : 2 : 1871
रट : 2 : 2389
ईक : 2 : 2020
जऊ : 2 : 1058
आब : 2 : 1096
ईट : 2 : 1647
टए : 2 : 1128
थव : 2 : 764
ऋथ : 2 : 823
ऐल : 2 : 754
ओम : 2 : 634
णड : 2 : 646
एण : 2 : 617
लम : 2 : 481
बइ : 2 : 513
षण : 2 : 762
टइ : 2 : 717
इख : 2 : 530
रत : 2 : 587
ईच : 2 : 246
गल : 2 : 276
खइ : 2 : 240
तस : 2 : 176
गओ : 2 : 104
रद : 2 : 168
उआ : 2 : 98
कक : 2 : 76
अआ : 2 : 61
अफ : 2 : 42
ईस : 2 : 45
शउ : 2 : 39
आड : 2 : 11
एप : 2 : 6
कट : 2 : 6
ंअं : 1 : 181822
झअ : 1 : 33380
उळ : 1 : 26568
डए : 1 : 25552
ऱअ : 1 : 15793
ँअँ : 1 : 15223
ओप : 1 : 13779
डआ : 1 : 13511
णऊ : 1 : 12614
खई : 1 : 11054
उट : 1 : 10288
ऊक : 1 : 10188
ठआ : 1 : 9731
पई : 1 : 9415
जओ : 1 : 8949
एच : 1 : 8537
अंघ : 1 : 8154
वऊ : 1 : 7942
इच : 1 : 7735
टआ : 1 : 7157
ऱय : 1 : 7101
आऱ : 1 : 7101
लप : 1 : 7013
एड : 1 : 6284
ओध : 1 : 6245
डऑ : 1 : 6170
ढए : 1 : 5964
ऊत : 1 : 5413
आख : 1 : 5404
धए : 1 : 4888
शए : 1 : 4712
शर : 1 : 4700
ठए : 1 : 4437
षय : 1 : 4381
फआ : 1 : 4127
ःअः : 1 : 4020
ऐक : 1 : 3680
अंप : 1 : 3669
कअं : 1 : 3669
अष : 1 : 3541
सप : 1 : 3541
बए : 1 : 3337
ऊण : 1 : 3231
ईव : 1 : 3186
चच : 1 : 2930
उच : 1 : 2930
ऐर : 1 : 2899
बध : 1 : 2863
ऑन : 1 : 2782
उव : 1 : 2726
ऑफ : 1 : 2652
ऊट : 1 : 2362
एय : 1 : 2347
सय : 1 : 2206
रक : 1 : 2102
नम : 1 : 1981
हऐ : 1 : 1939
छआ : 1 : 1897
चछ : 1 : 1897
ओष : 1 : 1847
घओ : 1 : 1847
दअं : 1 : 1548
नऐ : 1 : 1376
उष : 1 : 1329
यइ : 1 : 1305
यअं : 1 : 1271
उम : 1 : 1175
अंह : 1 : 1172
अंथ : 1 : 1104
अअः : 1 : 1040
अअ : 1 : 1040
रज : 1 : 912
धउ : 1 : 855
कऑ : 1 : 813
तम : 1 : 801
अंय : 1 : 782
अंज : 1 : 775
सल : 1 : 646
ऐत : 1 : 587
मस : 1 : 556
कल : 1 : 541
ऊज : 1 : 532
ऊह : 1 : 309
छओ : 1 : 307
बर : 1 : 300
ऐज : 1 : 295
दव : 1 : 258
औद : 1 : 256
बऔ : 1 : 256
मऋ : 1 : 238
ऐच : 1 : 237
ईप : 1 : 228
ङअ : 1 : 227
ऊच : 1 : 182
थय : 1 : 175
ऍस : 1 : 128
सस : 1 : 119
उछ : 1 : 104
पए : 1 : 104
उज : 1 : 102
ओई : 1 : 101
औग : 1 : 101
भऔ : 1 : 101
ऍन : 1 : 93
उए : 1 : 91
जऐ : 1 : 82
पऔ : 1 : 66
ऋद : 1 : 59
नउ : 1 : 48
गऊ : 1 : 39
उई : 1 : 38
फई : 1 : 31
आफ : 1 : 31
चउ : 1 : 24
ऐय : 1 : 23
तऐ : 1 : 23
अख : 1 : 20
भओ : 1 : 20
दऔ : 1 : 16
ऋअं : 1 : 14
ऋअ : 1 : 14
तऔ : 1 : 13
लह : 1 : 12
वअं : 1 : 12
मब : 1 : 11
कय : 1 : 10
मभ : 1 : 10
ऊद : 1 : 8
ऐग : 1 : 8
वऐ : 1 : 8
रऐ : 1 : 8
तअं : 1 : 7
ऐथ : 1 : 7
मऐ : 1 : 7
आइ : 1 : 7
गइ : 1 : 7
उड : 1 : 5
एअँ : 1 : 5
अँच : 1 : 4
उअँ : 1 : 4
ऊब : 1 : 4
टऊ : 1 : 4
बऐ : 1 : 3
एग : 1 : 3
उय : 1 : 3
बउ : 1 : 3
डओ : 1 : 3
नड : 1 : 3
अइ : 1 : 3
रन : 1 : 3
टओ : 1 : 2
षम : 1 : 2
ईष : 1 : 2
उइ : 1 : 2
इथ : 1 : 2
थअं : 1 : 1
कव : 1 : 1
अँव : 1 : 1
एह : 1 : 1
नध : 1 : 1
