Char : Freq_in_tokens : Freq_in_corpus
एट : 3 : 16400
दओ : 3 : 16754
अळ : 3 : 12065
ओट : 3 : 14255
गई : 3 : 12491
अंव : 3 : 10257
रण : 3 : 10447
एस : 3 : 19866
उख : 3 : 16815
एम : 3 : 8770
गए : 3 : 12472
सट : 3 : 10668
रग : 3 : 8284
शय : 3 : 9518
अंश : 3 : 4524
षठ : 3 : 5205
शव : 3 : 5315
भई : 3 : 3388
मऊ : 3 : 5104
अंध : 3 : 6529
बअं : 3 : 6529
एज : 3 : 3593
ऊस : 3 : 2723
अंख : 3 : 2006
तव : 3 : 2818
आथ : 3 : 3812
आश : 3 : 2528
शच : 3 : 2800
इह : 3 : 2545
कउ : 3 : 2573
सव : 3 : 1274
ञआ : 3 : 2105
अच : 3 : 1242
नन : 3 : 1509
रश : 3 : 2296
लउ : 3 : 689
इड : 3 : 574
कऊ : 3 : 559
पइ : 3 : 440
नह : 3 : 64
अड : 3 : 34
णए : 2 : 41561
ळआ : 2 : 35430
ळई : 2 : 30441
ळए : 2 : 43168
धई : 2 : 29999
डई : 2 : 23344
जए : 2 : 28746
ओड : 2 : 16214
नअं : 2 : 19355
उण : 2 : 15066
जय : 2 : 12952
डऊ : 2 : 16213
उअं : 2 : 11515
उअ : 2 : 11267
सऊ : 2 : 11277
बई : 2 : 10905
सउ : 2 : 11433
रच : 2 : 9990
थए : 2 : 15515
अंट : 2 : 8713
एद : 2 : 7251
एथ : 2 : 12670
मअं : 2 : 8778
खए : 2 : 6395
अट : 2 : 6562
इभ : 2 : 5599
थई : 2 : 7410
ऑल : 2 : 6315
ईर : 2 : 7688
अंभ : 2 : 5518
एष : 2 : 4968
यऊ : 2 : 5950
ओब : 2 : 4152
रअं : 2 : 7715
ञअ : 2 : 5034
इज : 2 : 4597
यई : 2 : 3721
इण : 2 : 4845
रड : 2 : 4275
पत : 2 : 5187
कस : 2 : 3280
इष : 2 : 4083
तप : 2 : 4067
ऊम : 2 : 3745
भऊ : 2 : 3745
बद : 2 : 2712
हय : 2 : 2473
फइ : 2 : 2647
ऐन : 2 : 3194
ईम : 2 : 2502
इद : 2 : 1871
रट : 2 : 2389
ईक : 2 : 2010
जऊ : 2 : 1057
आब : 2 : 1095
ईट : 2 : 1646
टए : 2 : 1127
थव : 2 : 763
ऋथ : 2 : 822
ऐल : 2 : 754
ओम : 2 : 634
णड : 2 : 646
एण : 2 : 617
लम : 2 : 481
बइ : 2 : 511
षण : 2 : 762
टइ : 2 : 714
इख : 2 : 530
रत : 2 : 582
ईच : 2 : 246
गल : 2 : 276
खइ : 2 : 238
तस : 2 : 176
गओ : 2 : 104
रद : 2 : 168
उआ : 2 : 98
कक : 2 : 76
अआ : 2 : 60
अफ : 2 : 42
ईस : 2 : 45
शउ : 2 : 39
आड : 2 : 11
एप : 2 : 6
कट : 2 : 6
ंअं : 1 : 181512
झअ : 1 : 33331
उळ : 1 : 26551
डए : 1 : 25503
ऱअ : 1 : 15755
ँअँ : 1 : 15201
ओप : 1 : 13771
डआ : 1 : 13479
णऊ : 1 : 12597
खई : 1 : 11041
उट : 1 : 10276
ऊक : 1 : 10182
ठआ : 1 : 9718
पई : 1 : 9412
जओ : 1 : 8937
एच : 1 : 8531
अंघ : 1 : 8151
वऊ : 1 : 7925
इच : 1 : 7721
टआ : 1 : 7144
ऱय : 1 : 7085
आऱ : 1 : 7085
लप : 1 : 7005
एड : 1 : 6282
ओध : 1 : 6224
डऑ : 1 : 6167
ढए : 1 : 5950
ऊत : 1 : 5405
आख : 1 : 5394
धए : 1 : 4880
शए : 1 : 4708
शर : 1 : 4690
ठए : 1 : 4429
षय : 1 : 4368
फआ : 1 : 4114
ःअः : 1 : 4015
ऐक : 1 : 3673
अंप : 1 : 3669
कअं : 1 : 3669
अष : 1 : 3537
सप : 1 : 3537
बए : 1 : 3331
ऊण : 1 : 3225
ईव : 1 : 3182
चच : 1 : 2928
उच : 1 : 2928
ऐर : 1 : 2895
बध : 1 : 2862
ऑन : 1 : 2780
उव : 1 : 2714
ऑफ : 1 : 2651
ऊट : 1 : 2358
एय : 1 : 2345
सय : 1 : 2205
रक : 1 : 2101
नम : 1 : 1975
हऐ : 1 : 1930
छआ : 1 : 1895
चछ : 1 : 1895
ओष : 1 : 1846
घओ : 1 : 1846
दअं : 1 : 1547
नऐ : 1 : 1376
उष : 1 : 1329
यइ : 1 : 1304
यअं : 1 : 1269
अंह : 1 : 1172
उम : 1 : 1169
अंथ : 1 : 1100
अअः : 1 : 1038
अअ : 1 : 1038
रज : 1 : 912
धउ : 1 : 855
कऑ : 1 : 813
तम : 1 : 798
अंय : 1 : 782
अंज : 1 : 775
सल : 1 : 641
ऐत : 1 : 587
मस : 1 : 556
कल : 1 : 541
ऊज : 1 : 532
ऊह : 1 : 309
छओ : 1 : 306
बर : 1 : 298
ऐज : 1 : 295
औद : 1 : 256
बऔ : 1 : 256
दव : 1 : 254
मऋ : 1 : 238
ऐच : 1 : 237
ङअ : 1 : 227
ईप : 1 : 227
ऊच : 1 : 182
थय : 1 : 175
ऍस : 1 : 128
सस : 1 : 118
उछ : 1 : 104
पए : 1 : 104
उज : 1 : 102
औग : 1 : 101
भऔ : 1 : 101
ओई : 1 : 99
ऍन : 1 : 93
उए : 1 : 91
जऐ : 1 : 82
पऔ : 1 : 66
ऋद : 1 : 59
नउ : 1 : 48
गऊ : 1 : 39
उई : 1 : 38
फई : 1 : 31
आफ : 1 : 31
चउ : 1 : 24
ऐय : 1 : 23
तऐ : 1 : 23
अख : 1 : 20
भओ : 1 : 20
दऔ : 1 : 16
ऋअं : 1 : 14
ऋअ : 1 : 14
तऔ : 1 : 13
लह : 1 : 12
वअं : 1 : 12
मब : 1 : 11
कय : 1 : 10
मभ : 1 : 10
ऊद : 1 : 8
ऐग : 1 : 8
वऐ : 1 : 8
रऐ : 1 : 8
तअं : 1 : 7
ऐथ : 1 : 7
मऐ : 1 : 7
आइ : 1 : 7
गइ : 1 : 7
उड : 1 : 5
एअँ : 1 : 5
अँच : 1 : 4
उअँ : 1 : 4
ऊब : 1 : 4
टऊ : 1 : 4
बऐ : 1 : 3
एग : 1 : 3
उय : 1 : 3
बउ : 1 : 3
डओ : 1 : 3
नड : 1 : 3
अइ : 1 : 3
रन : 1 : 3
टओ : 1 : 2
षम : 1 : 2
ईष : 1 : 2
उइ : 1 : 2
इथ : 1 : 2
थअं : 1 : 1
कव : 1 : 1
अँव : 1 : 1
एह : 1 : 1
नध : 1 : 1
