avg_precision : avg_recall : avg_f_score
2.0294621598214104 : 7.176681545223745 : 3.1545913787927784
precision_per_sentence : recall_per_sentence : f_score_per_sentence
1.3888888888888888 : 4.545454545454546 : 2.127659574468085
3.3333333333333335 : 14.285714285714286 : 5.405405405405405
2.380952380952381 : 8.695652173913043 : 3.7383177570093453
0.0 : 0.0 : 0
3.125 : 14.285714285714286 : 5.128205128205129
0.0 : 0.0 : 0
0.0 : 0.0 : 0
3.5714285714285716 : 11.11111111111111 : 5.405405405405406
0.0 : 0.0 : 0
2.5 : 10.0 : 4.0
0.0 : 0.0 : 0
3.3333333333333335 : 11.11111111111111 : 5.128205128205129
2.7777777777777777 : 11.11111111111111 : 4.444444444444444
0.0 : 0.0 : 0
4.878048780487805 : 15.384615384615385 : 7.407407407407407
7.547169811320755 : 23.529411764705884 : 11.428571428571427
0.0 : 0.0 : 0
0.0 : 0.0 : 0
0.0 : 0.0 : 0
2.857142857142857 : 12.5 : 4.651162790697675
0.0 : 0.0 : 0
0.0 : 0.0 : 0
0.0 : 0.0 : 0
13.043478260869565 : 42.857142857142854 : 20.0
0.0 : 0.0 : 0
