Char : Freq_in_tokens : Freq_in_corpus
रअ : 285 : 1934909
अर : 218 : 1479087
कअ : 195 : 1315263
नअ : 189 : 1119646
सअ : 180 : 1064123
लअ : 171 : 1162969
मअ : 170 : 862633
तअ : 144 : 1622977
वअ : 131 : 1001120
अन : 125 : 587142
अक : 124 : 390839
पअ : 117 : 785523
अल : 111 : 666704
हअ : 106 : 840113
अत : 100 : 694666
जअ : 100 : 403666
बअ : 97 : 296697
दअ : 94 : 536881
गअ : 92 : 398276
अव : 87 : 244927
अम : 85 : 260918
डअ : 83 : 272829
टअ : 78 : 316998
अस : 70 : 377629
अह : 69 : 289467
चअ : 61 : 744535
ळअ : 56 : 210961
अड : 56 : 139839
अद : 55 : 161651
णअ : 54 : 581152
अट : 54 : 140408
अग : 52 : 131849
यअ : 48 : 1440545
फअ : 47 : 83951
अळ : 45 : 156192
शअ : 44 : 337769
अण : 44 : 343716
खअ : 43 : 154104
अज : 42 : 104657
अप : 42 : 90862
अए : 42 : 2888
अब : 38 : 52741
भअ : 35 : 162359
एस : 33 : 6047
धअ : 29 : 258912
ठअ : 27 : 141473
थअ : 25 : 115571
घअ : 25 : 110166
अच : 24 : 72131
एम : 23 : 4887
ढअ : 22 : 46106
अय : 21 : 292558
झअ : 19 : 72692
अख : 19 : 57870
अफ : 17 : 8795
अआ : 17 : 1328
आर : 16 : 17567
एन : 16 : 2806
अश : 15 : 100216
आई : 15 : 3003
षअ : 12 : 186746
आय : 12 : 14763
अथ : 12 : 18603
छअ : 12 : 14410
अई : 12 : 4270
अढ : 11 : 23835
अभ : 11 : 21176
ईए : 11 : 57
अध : 9 : 80144
एल : 9 : 2469
एफ : 9 : 1494
एच : 8 : 1102
एक : 7 : 61613
उप : 7 : 21067
अठ : 7 : 26977
आव : 7 : 5978
एए : 7 : 192
अघ : 6 : 5066
अओ : 6 : 144
उत : 5 : 16289
आज : 5 : 12508
आद : 4 : 7300
आक : 4 : 5668
आठ : 4 : 4782
उल : 4 : 3578
आप : 3 : 33222
आम : 3 : 16161
अझ : 3 : 7573
उम : 3 : 4728
आग : 3 : 4043
इस : 3 : 2645
उड : 3 : 2857
एव : 3 : 1950
उस : 3 : 1096
अऊ : 3 : 1240
उठ : 3 : 1170
आन : 3 : 642
एड : 3 : 416
उट : 3 : 542
उध : 3 : 583
ओप : 3 : 362
आउ : 3 : 195
आइ : 3 : 123
ईआ : 3 : 23
आह : 2 : 171338
आण : 2 : 88847
आल : 2 : 38000
उद : 2 : 10848
इत : 2 : 10504
उच : 2 : 5546
इन : 2 : 3878
आश : 2 : 3909
इड : 2 : 3015
ओळ : 2 : 3231
उभ : 2 : 4087
ऑफ : 2 : 2708
इम : 2 : 2527
इथ : 2 : 2373
उन : 2 : 1891
ऐक : 2 : 1908
आस : 2 : 1623
आढ : 2 : 1699
और : 2 : 1379
उज : 2 : 1086
ओव : 2 : 705
आड : 2 : 792
आच : 2 : 588
उब : 2 : 557
उक : 2 : 697
ओर : 2 : 571
ऋष : 2 : 272
ईओ : 2 : 138
ईद : 2 : 216
अअ : 2 : 124
ओए : 2 : 88
इए : 2 : 15
औस : 2 : 2
आत : 1 : 17316
ईल : 1 : 11769
ऊन : 1 : 11681
ञअ : 1 : 7144
आध : 1 : 5262
ईन : 1 : 3355
इट : 1 : 2974
उघ : 1 : 2398
औष : 1 : 2294
उर : 1 : 2144
इल : 1 : 1933
ऑन : 1 : 1863
ईट : 1 : 1838
आब : 1 : 1718
इज : 1 : 1389
इश : 1 : 1285
एप : 1 : 1214
ऑप : 1 : 999
इक : 1 : 908
एट : 1 : 908
ओल : 1 : 875
ईड : 1 : 875
इग : 1 : 861
एअ : 1 : 756
ईस : 1 : 741
ओढ : 1 : 734
आख : 1 : 724
उग : 1 : 661
ऊल : 1 : 661
ऐत : 1 : 605
ऑल : 1 : 604
ऑक : 1 : 581
एज : 1 : 579
ऑर : 1 : 536
आफ : 1 : 526
ओम : 1 : 495
ऊस : 1 : 480
ऐव : 1 : 467
इर : 1 : 452
आळ : 1 : 443
एर : 1 : 384
ऋत : 1 : 378
ओत : 1 : 367
ओब : 1 : 330
ऍड : 1 : 329
ऑड : 1 : 313
ऐन : 1 : 299
ऊर : 1 : 277
ओस : 1 : 273
ऊट : 1 : 269
आऊ : 1 : 269
आट : 1 : 258
ईश : 1 : 257
इय : 1 : 244
आझ : 1 : 228
ङअ : 1 : 227
ओक : 1 : 227
ओन : 1 : 226
अछ : 1 : 216
ऍप : 1 : 213
ओझ : 1 : 212
ऐश : 1 : 189
ईज : 1 : 186
इफ : 1 : 180
ऐस : 1 : 171
इव : 1 : 171
अष : 1 : 166
एब : 1 : 161
ओट : 1 : 157
ईर : 1 : 125
औप : 1 : 117
एश : 1 : 109
औच : 1 : 103
ऋण : 1 : 86
ओह : 1 : 72
उख : 1 : 66
एग : 1 : 62
एय : 1 : 46
आए : 1 : 43
ईई : 1 : 35
इब : 1 : 35
उथ : 1 : 32
एआ : 1 : 30
ऐप : 1 : 25
एह : 1 : 16
एथ : 1 : 14
ईय : 1 : 13
उफ : 1 : 12
ऊप : 1 : 9
आओ : 1 : 6
ऑय : 1 : 5
इध : 1 : 5
उछ : 1 : 1
अऄ : 1 : 1
